Emission_ID,Source,Gas_Type,Emission_Quantity (kg),Latitude,Longitude,Date,Neighborhood_Name,Emission_Category,Temperature (°C),Emission_Control,Gas_Type_Encoded,Year,Month,Day,Weekday,Emission_Severity
55,Residential,CH4,128.0,35.31524423263103,-106.20812025708736,2023-09-18,Woodmouth,Low,22.389046956675767,Yes,0,2023,9,18,0,Low
56,Industrial,CO2,165.0,34.932664596445576,-77.86283758161287,2024-02-14,East Tonya,Medium,20.41821623786465,No,1,2024,2,14,2,Low
57,Industrial,N2O,281.0,38.37356545657704,-90.14013830458602,2023-12-21,New Curtisshire,Low,26.238889431629705,Yes,2,2023,12,21,3,High
58,Transportation,CO2,184.0,41.21930426628883,-86.27359492049364,2024-05-10,Robertsfurt,Medium,25.625121191353166,No,1,2024,5,10,4,Low
59,Industrial,N2O,474.0,36.75166149246149,-106.68529655119978,2024-08-10,Rossport,Medium,24.021311550288765,Yes,2,2024,8,10,5,High
60,Industrial,CH4,113.0,39.86400085778099,-86.3469211547079,2024-01-09,Jodiburgh,Low,26.4389394177321,No,0,2024,1,9,1,Low
61,Residential,CH4,101.0,39.269290839518135,-116.76265372377136,2024-04-02,Smithshire,Low,25.50613297985144,Yes,0,2024,4,2,1,Low
62,Transportation,N2O,195.0,41.452439314475846,-101.4858607859874,2023-10-27,Nicholasview,Medium,22.50581576594193,No,2,2023,10,27,4,Low
63,Residential,CH4,469.0,40.56784813839312,-90.42285266413742,2024-08-05,Sotoview,Medium,23.977289756227226,Yes,0,2024,8,5,0,High
64,Residential,CH4,292.0,38.53284207124371,-111.57175111618191,2024-05-30,West Tammy,Medium,24.28113569747241,Yes,0,2024,5,30,3,High
65,Residential,CH4,190.0,39.25624398587286,-81.78784272433487,2023-11-10,Port Michael,High,28.80247994475564,Yes,0,2023,11,10,4,Low
66,Residential,CH4,179.0,41.18709173267228,-107.65862285227558,2023-12-30,Robinsonville,Low,29.609041541289592,Yes,0,2023,12,30,5,Low
67,Residential,N2O,196.0,37.19615027669548,-89.29963103598837,2024-03-02,North Christineburgh,High,28.93001362396497,No,2,2024,3,2,5,Low
68,Residential,CO2,184.0,36.61435764686222,-100.1713257266855,2023-10-31,North Mary,High,27.1917802405198,Yes,1,2023,10,31,1,Low
69,Residential,CO2,231.0,34.08648866908157,-91.77408179898352,2023-10-03,Matthewmouth,Low,25.84992733605822,No,1,2023,10,3,1,Low
70,Transportation,CH4,242.0,40.61240859353171,-113.27217568432803,2024-06-28,Davidfurt,Low,26.892616354659552,No,0,2024,6,28,4,Low
71,Industrial,CO2,171.0,40.40784560322692,-117.25583680344928,2023-11-05,Lyonsfurt,High,29.39109220732689,Yes,1,2023,11,5,6,Low
72,Residential,CO2,430.0,34.835636144801214,-77.97916519526675,2024-09-01,Michaelmouth,Low,22.49998735223832,Yes,1,2024,9,1,6,High
73,Residential,CH4,143.0,38.6148590490616,-106.13627961424396,2024-03-19,North Kyle,Medium,25.351205076734047,Yes,0,2024,3,19,1,Low
74,Residential,CH4,400.0,37.7118535853351,-81.9342118776598,2024-03-05,Rodriguezville,Medium,26.89608019000408,Yes,0,2024,3,5,1,High
75,Residential,CO2,489.0,34.94967276407289,-74.02858677922319,2024-08-11,South Staceytown,High,26.792470013242745,No,1,2024,8,11,6,High
76,Residential,N2O,233.0,41.84454581648579,-108.69702464804791,2024-09-09,North Martinburgh,High,22.52278959576837,No,2,2024,9,9,0,Low
77,Residential,CH4,162.0,35.71756709970684,-106.33248738793236,2023-11-06,Jessicatown,Low,25.86731527389752,No,0,2023,11,6,0,Low
78,Industrial,N2O,42.0,34.53787344072449,-88.83416934407471,2023-10-19,Curtisborough,Low,27.95913142420157,No,2,2023,10,19,3,Low
79,Industrial,CO2,64.0,38.75877903601528,-75.52026007757266,2024-02-27,Codyhaven,High,24.75078980050244,Yes,1,2024,2,27,1,Low
80,Residential,CH4,451.0,39.91093341706426,-77.70416867960726,2023-09-23,New Andrewville,High,27.93298076698735,No,0,2023,9,23,5,High
81,Industrial,N2O,16.0,34.2595475683775,-95.87347711711426,2023-10-27,Katherineville,Medium,23.59882597754555,Yes,2,2023,10,27,4,Low
82,Transportation,CH4,253.0,39.26974110981618,-83.01514756882412,2024-06-07,East Petershire,Medium,29.38760127163759,Yes,0,2024,6,7,4,Low
83,Residential,CO2,322.0,38.25833500761164,-112.02718246360436,2024-05-02,Lake Karen,Low,25.33928440499101,No,1,2024,5,2,3,High
84,Transportation,N2O,135.0,34.82612007100039,-74.99271989502346,2023-12-31,Jasmineside,Medium,25.959479507926144,No,2,2023,12,31,6,Low
85,Transportation,CO2,21.0,35.380191015570894,-75.5684577024166,2024-01-07,Chelseahaven,Low,20.31361568804589,No,1,2024,1,7,6,Low
86,Residential,CO2,25.0,38.543794378528645,-110.79592585331648,2024-07-19,Stephanieburgh,Low,21.702691371285944,No,1,2024,7,19,4,Low
87,Industrial,CH4,217.0,36.37086090810631,-104.82538250866332,2024-04-04,Oconnellfurt,Low,26.32933880471045,No,0,2024,4,4,3,Low
88,Transportation,N2O,52.0,41.50652582921053,-113.59318010970226,2024-07-25,Collinsborough,Medium,24.198703717822717,No,2,2024,7,25,3,Low
89,Residential,CO2,382.0,40.5499218358724,-106.04442564848009,2024-06-11,East Michael,High,25.081637904581747,Yes,1,2024,6,11,1,High
90,Transportation,CO2,493.0,41.8685376521093,-82.09794526573091,2024-02-03,North Janiceburgh,High,20.629714087337003,Yes,1,2024,2,3,5,High
91,Transportation,N2O,470.0,36.07736671160331,-101.35411328472858,2024-03-15,Brentfort,Medium,28.341352384103843,Yes,2,2024,3,15,4,High
92,Transportation,CO2,144.0,41.75778906238381,-114.11053344554264,2024-01-27,Hannahland,High,27.84505602296217,No,1,2024,1,27,5,Low
93,Transportation,CO2,237.0,37.44987095833246,-102.9420769097282,2024-07-17,Deborahview,Low,21.853539757218496,Yes,1,2024,7,17,2,Low
94,Industrial,N2O,120.0,36.78015036251004,-74.81913329338367,2024-01-11,Lake Valerie,High,26.343293572573792,Yes,2,2024,1,11,3,Low
95,Transportation,N2O,316.0,34.402796215754826,-90.29392180859509,2023-12-05,Lake Shaunside,Medium,28.183152116542715,Yes,2,2023,12,5,1,High
96,Transportation,N2O,466.0,34.422122062876824,-99.68891835812906,2024-07-21,North Christopher,High,26.408541364156,Yes,2,2024,7,21,6,High
97,Transportation,N2O,169.0,39.53609004757324,-110.67230540612012,2023-11-11,Heathermouth,Low,23.103980952958448,Yes,2,2023,11,11,5,Low
98,Industrial,CH4,340.0,37.66343195547222,-74.60822091951744,2024-03-01,Ramirezborough,Low,26.56111150478167,Yes,0,2024,3,1,4,High
99,Transportation,N2O,273.0,35.812173008288845,-81.88264359242234,2023-11-16,Port Lindsayfurt,Medium,22.10461747683212,No,2,2023,11,16,3,High
100,Transportation,CH4,234.0,38.91176245060186,-105.61499869215956,2024-05-10,Johnside,Medium,23.18254997279421,No,0,2024,5,10,4,Low
101,Industrial,CH4,480.0,36.02286494600089,-114.91697738826768,2023-10-18,South Marcus,Medium,22.400696531071787,No,0,2023,10,18,2,High
102,Industrial,CH4,226.0,38.62105403475538,-115.50847547538744,2024-05-08,Whitemouth,Low,25.569251023902066,Yes,0,2024,5,8,2,Low
103,Industrial,CO2,465.0,36.873669975861525,-112.70336142175653,2024-07-12,Castanedafort,High,21.082266467655487,No,1,2024,7,12,4,High
104,Transportation,CH4,54.0,40.58841781289456,-92.44618232096543,2024-08-25,Kimberlyberg,High,29.333103803483382,No,0,2024,8,25,6,Low
105,Industrial,CH4,223.0,40.56556928613424,-77.13440946695835,2024-02-27,New Christopherborough,Medium,23.335123536628668,Yes,0,2024,2,27,1,Low
106,Industrial,CO2,68.0,37.81880318497921,-96.14328916773668,2023-12-16,Laurieborough,High,22.189701271058013,No,1,2023,12,16,5,Low
107,Transportation,CO2,141.0,36.80655287468012,-80.91039877192733,2023-10-08,North Veronica,High,24.96549813601831,Yes,1,2023,10,8,6,Low
108,Industrial,CO2,113.0,36.90047837247276,-98.38098872616844,2024-03-26,Virginialand,Medium,22.76997818454716,No,1,2024,3,26,1,Low
109,Transportation,N2O,204.0,40.44571620534575,-86.8223239862157,2023-11-16,Markfort,Medium,25.34904086382644,Yes,2,2023,11,16,3,Low
110,Residential,CO2,422.0,36.6254358623809,-85.79759955939397,2024-03-21,Leonardhaven,Low,23.485091497820854,Yes,1,2024,3,21,3,High
111,Industrial,CO2,498.0,35.672474989654766,-110.3455969402531,2024-09-14,New Matthew,Low,21.32066810769041,No,1,2024,9,14,5,High
112,Residential,CH4,166.0,34.67750673500245,-102.10649340506428,2024-04-07,Lake Barry,Low,22.65895242027262,Yes,0,2024,4,7,6,Low
113,Transportation,CO2,107.0,37.73354496707527,-89.95870511232695,2024-05-09,Lake Michellefort,Low,24.38439844961525,No,1,2024,5,9,3,Low
114,Industrial,N2O,235.0,37.85705679135874,-114.88934923988788,2024-02-29,West Antonioport,High,20.30293226479625,Yes,2,2024,2,29,3,Low
115,Transportation,CO2,421.0,40.727269683223255,-102.09223173842992,2023-12-07,Jamesshire,High,27.70642527014762,No,1,2023,12,7,3,High
116,Residential,N2O,214.0,35.76990957156851,-94.46882348362752,2023-11-13,Whiteheadhaven,Low,26.21824564590416,No,2,2023,11,13,0,Low
117,Transportation,CO2,88.0,37.0479301893472,-74.1661223060359,2023-11-03,Lloydtown,Low,26.013596072783542,Yes,1,2023,11,3,4,Low
118,Industrial,CO2,133.0,40.467245911149526,-97.1205232446126,2024-06-20,Port Danafort,Medium,25.460499318827654,No,1,2024,6,20,3,Low
119,Industrial,CO2,480.0,40.58898888599179,-82.09350268696977,2023-12-07,North Dominique,High,25.903131723250684,No,1,2023,12,7,3,High
120,Residential,CO2,437.0,37.07688860783014,-98.98903945706884,2023-10-18,West Robertbury,High,29.346519527072203,No,1,2023,10,18,2,High
121,Transportation,N2O,227.0,37.67299218629345,-82.9588082047328,2024-05-27,Port Melissa,Low,20.08569210810741,Yes,2,2024,5,27,0,Low
122,Industrial,N2O,13.0,36.42628712679426,-91.80174872871524,2024-08-20,Port Christopher,High,20.477997096577493,Yes,2,2024,8,20,1,Low
123,Residential,CH4,99.0,41.4604390273545,-78.98980057389447,2023-10-05,Port Kaylaberg,Medium,21.914934099308024,No,0,2023,10,5,3,Low
124,Industrial,N2O,113.0,34.94915012593264,-99.91852769659516,2024-06-19,Lake Danielbury,Medium,21.6730137999315,No,2,2024,6,19,2,Low
125,Industrial,CO2,402.0,41.46999538401176,-91.41060552785493,2024-09-10,Lake Kathleenmouth,High,21.811944594691827,Yes,1,2024,9,10,1,High
126,Transportation,CH4,128.0,39.47093161468275,-90.2791780527716,2024-02-17,Petersonburgh,Low,26.7194388584865,Yes,0,2024,2,17,5,Low
127,Industrial,CH4,142.0,38.25257722149385,-99.63515056077918,2024-05-17,Rogersside,High,24.59483301050165,No,0,2024,5,17,4,Low
128,Transportation,CH4,321.0,34.26127248627597,-111.65027007775082,2024-08-12,South Philipfurt,Medium,29.91778878334693,Yes,0,2024,8,12,0,High
129,Industrial,CO2,105.0,37.80476953457607,-113.88338609585723,2024-04-01,Lake Joshua,Low,22.26885914802945,Yes,1,2024,4,1,0,Low
130,Residential,N2O,477.0,37.26198484002186,-117.26645177361614,2024-05-14,New Jeffrey,High,23.108301010274943,No,2,2024,5,14,1,High
131,Industrial,CO2,443.0,35.28975049580098,-79.56449237321056,2023-11-05,Huntport,Low,29.842407168016493,Yes,1,2023,11,5,6,High
132,Transportation,CH4,340.0,39.25127682800525,-107.59510386149744,2024-03-19,Valdezland,Low,28.31758140802247,Yes,0,2024,3,19,1,High
133,Transportation,CO2,152.0,41.76920725894629,-108.6937030316022,2024-05-02,Suzanneborough,Medium,24.69799220678533,Yes,1,2024,5,2,3,Low
134,Residential,CO2,297.0,38.4975104885162,-85.61444238125313,2024-05-30,Natalieburgh,Low,25.545968855459897,No,1,2024,5,30,3,High
135,Industrial,N2O,37.0,39.71802621155157,-103.91929102415476,2024-06-01,Hartmanmouth,High,28.431779206528404,Yes,2,2024,6,1,5,Low
136,Industrial,N2O,287.0,34.547603620528136,-95.7340335338792,2024-01-15,Richardside,Low,24.80980246046328,No,2,2024,1,15,0,High
137,Residential,CH4,242.0,37.34133596653596,-110.84951312691192,2024-02-01,Lake Darrell,Low,22.060237235820843,Yes,0,2024,2,1,3,Low
138,Industrial,CO2,26.0,34.93086788131597,-75.77118825567335,2024-09-04,West Andreberg,High,28.28444538554385,Yes,1,2024,9,4,2,Low
139,Industrial,CO2,68.0,38.90236668429208,-80.53041839924155,2024-02-02,Port Josechester,Medium,25.377724912756435,No,1,2024,2,2,4,Low
140,Transportation,N2O,99.0,41.507857265713234,-79.99325658953985,2024-04-14,Leblancfort,Medium,21.530425971638213,No,2,2024,4,14,6,Low
141,Industrial,CO2,208.0,39.29422185977311,-100.10195506283176,2024-06-20,East Kyle,High,25.055858311843977,No,1,2024,6,20,3,Low
142,Industrial,CO2,371.0,34.614424386515374,-84.4561065968844,2024-02-10,South Kristinfort,High,24.13203380596859,No,1,2024,2,10,5,High
143,Residential,CO2,450.0,36.83732963988066,-111.66944916284967,2024-07-10,Trevormouth,Medium,28.768425318817577,Yes,1,2024,7,10,2,High
144,Residential,N2O,35.0,38.40530703552681,-117.62076388596168,2024-04-26,Stephensberg,Low,21.260554313607035,No,2,2024,4,26,4,Low
145,Transportation,CH4,34.0,37.22566204906602,-117.12119096656676,2024-09-06,North Brett,High,28.752098044480256,No,0,2024,9,6,4,Low
146,Industrial,CH4,403.0,40.66915208380138,-92.18952355419934,2024-03-30,Cookside,Low,25.122110168102846,No,0,2024,3,30,5,High
147,Industrial,CO2,310.0,40.51736803767992,-97.9626241690906,2023-10-14,Jeffreyport,High,24.04364429981148,Yes,1,2023,10,14,5,High
148,Industrial,CH4,348.0,38.894648160825774,-95.20732464802514,2023-09-18,West Sarah,Medium,21.619671844029405,Yes,0,2023,9,18,0,High
149,Transportation,N2O,276.0,36.987663561061645,-117.67162182164236,2024-04-22,Lake Andremouth,Low,27.00817962638679,No,2,2024,4,22,0,High
150,Transportation,N2O,470.0,36.04269099010595,-99.40178873507328,2024-03-30,New Lindsay,Low,29.26806709110041,No,2,2024,3,30,5,High
151,Residential,CH4,190.0,34.84699454570504,-86.40500090716213,2024-04-15,Port Brittany,High,23.7537735389932,No,0,2024,4,15,0,Low
152,Transportation,CH4,465.0,36.83918146789243,-98.52147711343282,2024-01-31,South Alexandra,Low,22.41585000670833,No,0,2024,1,31,2,High
153,Industrial,CO2,369.0,37.30538013766176,-85.78235492226221,2023-10-30,South Stacey,High,25.54866916999157,Yes,1,2023,10,30,0,High
154,Industrial,CH4,77.0,39.40658340083259,-107.74716556653928,2024-01-24,Nelsonborough,Medium,27.961859484338703,No,0,2024,1,24,2,Low
155,Transportation,CO2,360.0,39.26527859438059,-82.22175180280408,2023-10-12,Vincentmouth,Low,20.03767694550533,Yes,1,2023,10,12,3,High
156,Industrial,CO2,421.0,34.56086511713006,-92.1090254200481,2024-04-06,New Monique,High,26.31377436395429,No,1,2024,4,6,5,High
157,Industrial,N2O,468.0,37.16207452344926,-108.72642362508412,2024-08-27,North Paulaport,Low,25.96516000698631,No,2,2024,8,27,1,High
158,Transportation,N2O,330.0,35.4542309377389,-107.58429906243136,2024-04-19,Johnsonhaven,High,23.1815218580416,Yes,2,2024,4,19,4,High
159,Transportation,N2O,58.0,35.25450164253444,-90.36665955894036,2024-07-08,Joshuamouth,High,24.514230036049703,No,2,2024,7,8,0,Low
160,Industrial,N2O,184.0,40.61841719789797,-81.48265789865249,2024-04-17,North Paula,High,22.46963224161821,No,2,2024,4,17,2,Low
161,Industrial,CH4,61.0,34.33532173373006,-99.71237759071715,2024-04-08,South Kirk,Medium,27.89885737951843,No,0,2024,4,8,0,Low
162,Industrial,N2O,111.0,37.35346300721697,-106.63478111838594,2023-10-10,Seanside,Low,26.34534933366108,No,2,2023,10,10,1,Low
163,Residential,CH4,225.0,35.34562924613215,-79.85148929593359,2024-03-08,Port Jesus,Medium,25.32711622038985,Yes,0,2024,3,8,4,Low
164,Residential,N2O,447.0,41.03464172542779,-88.55219516296327,2024-03-05,West Kyle,High,23.92526198417827,No,2,2024,3,5,1,High
165,Residential,CH4,197.0,38.456324106200285,-98.28423855954463,2024-06-24,Christophermouth,High,22.91384386020732,No,0,2024,6,24,0,Low
166,Transportation,CO2,66.0,35.85104509101478,-96.53239140771072,2024-08-27,Jimeneztown,Medium,28.227364860434317,Yes,1,2024,8,27,1,Low
167,Residential,CH4,56.0,38.019418297331015,-109.01271541079856,2024-05-20,Philipton,Medium,24.51407670433569,No,0,2024,5,20,0,Low
168,Transportation,CH4,168.0,39.851890877624925,-90.42068427714688,2024-04-27,Rodriguezland,Low,25.01447419841673,Yes,0,2024,4,27,5,Low
169,Transportation,N2O,498.0,41.66494407135547,-102.2153295361129,2024-05-23,Nicholsonland,High,25.208287305407417,No,2,2024,5,23,3,High
170,Residential,CH4,183.0,35.76356803396335,-74.19161222632863,2024-04-17,Michaelside,Medium,24.483669354315765,No,0,2024,4,17,2,Low
171,Residential,CO2,251.0,41.08945417703476,-96.87192532847692,2023-12-21,East Jennifer,High,22.56088426238424,No,1,2023,12,21,3,Low
172,Residential,CO2,291.0,41.474432913339925,-96.62103332765702,2023-12-29,Martinberg,High,21.20340440243052,Yes,1,2023,12,29,4,High
173,Industrial,N2O,250.0,41.33136435625653,-93.10252135393044,2024-07-01,Kristaton,Low,20.985372671677407,Yes,2,2024,7,1,0,Low
174,Residential,CO2,379.0,39.08331485489528,-77.66273586277515,2024-06-22,West Jose,Low,27.574625233406884,No,1,2024,6,22,5,High
175,Industrial,CH4,14.0,39.03856523547766,-82.76400360617099,2024-06-12,North Dylanburgh,Low,22.235278223015115,Yes,0,2024,6,12,2,Low
176,Transportation,CO2,93.0,37.225685065470586,-98.15027692889498,2024-02-07,Jessicahaven,Medium,20.556728149539754,No,1,2024,2,7,2,Low
177,Industrial,N2O,317.0,40.0191830584303,-86.37723229719697,2024-04-29,East Melaniehaven,High,27.97517406695886,Yes,2,2024,4,29,0,High
178,Residential,CH4,370.0,38.25035214680746,-92.20563805364648,2024-04-23,Patrickfort,Medium,21.54061652860648,No,0,2024,4,23,1,High
179,Transportation,N2O,468.0,39.41950456982636,-96.33584985714504,2024-09-13,Port Andrew,Medium,26.25146091733354,Yes,2,2024,9,13,4,High
180,Transportation,CH4,257.0,37.427663230790365,-109.53810599748856,2024-01-08,Jacobstad,Low,23.38643271447863,No,0,2024,1,8,0,High
181,Transportation,CO2,63.0,39.85197171234511,-97.5868044079848,2024-01-31,Warnerchester,High,21.26480256691309,Yes,1,2024,1,31,2,Low
182,Industrial,N2O,170.0,40.5957721408364,-107.18398217100672,2024-05-19,North William,High,24.1448097925436,Yes,2,2024,5,19,6,Low
183,Residential,N2O,443.0,35.17149005282253,-77.7469454065272,2024-08-28,South Charlene,Low,20.14808861132625,Yes,2,2024,8,28,2,High
184,Transportation,CH4,431.0,40.66343772459383,-103.24210020616071,2023-12-13,West Sean,High,28.410449825125603,Yes,0,2023,12,13,2,High
185,Transportation,N2O,420.0,38.32237225432246,-76.10038336053162,2024-07-31,South Craig,Low,25.13497961341857,No,2,2024,7,31,2,High
186,Transportation,CH4,235.0,40.7573272727218,-94.5455672358327,2024-02-28,Zacharyland,Medium,21.39160010907962,No,0,2024,2,28,2,Low
187,Industrial,CH4,24.0,37.45041365072812,-90.21204733824896,2024-06-04,Jillianbury,Medium,22.369803183889847,Yes,0,2024,6,4,1,Low
188,Industrial,CH4,233.0,37.03232388306428,-94.11062044246958,2024-07-06,Lake Steven,Low,24.479751921385265,No,0,2024,7,6,5,Low
