Emission_ID,Source,Gas_Type,Emission_Quantity (kg),Latitude,Longitude,Date,Neighborhood_Name,Emission_Category,Temperature (°C),Emission_Control
31,Residential,CH4,346,34.05502369775719,-110.80088701791584,2024-01-28,Stephenfort,Medium,20.4137438246726,No
32,Industrial,CO2,365,35.69957821756378,-87.56178387775277,2024-03-03,Jeffreyfurt,Low,23.788870903326053,No
33,Residential,CO2,407,39.30818875130762,-88.33108275719891,2023-09-24,Carolynport,Low,20.347161521838945,Yes
34,Residential,CH4,147,37.289579911060365,-74.88196031623575,2024-06-06,South Edwin,Medium,21.02074924766098,No
35,Industrial,CH4,172,37.219250074394495,-74.63356770607678,2023-10-30,West Dennis,High,26.014107220036113,No
36,Residential,CO2,418,41.07669510583691,-87.78614108413831,2024-05-10,Davisburgh,High,28.738218211622534,No
37,Industrial,N2O,396,41.16450278505471,-107.28094915278345,2024-06-02,West Davidport,Medium,21.198247587092673,Yes
38,Industrial,CO2,120,41.273402112428684,-82.86354312225365,2024-07-28,Dawnport,Low,24.510892874668315,Yes
39,Transportation,CH4,111,36.51102461212022,-113.29071809471432,2024-03-04,Lewisport,Medium,29.108789048064438,Yes
40,Industrial,CO2,26,39.5284465019141,-83.64923061644834,2024-08-12,West Kelli,High,28.143009836715876,No
41,Transportation,CH4,277,36.173065450194954,-77.95137053763335,2024-01-01,East Donaldchester,High,25.1966789646593,Yes
42,Industrial,CH4,191,35.5248786645956,-101.15533063018884,2023-10-27,Patrickshire,Medium,27.71571439328831,Yes
43,Industrial,N2O,381,35.477059658778956,-90.25204702074446,2024-06-12,Kleinhaven,Low,25.226937740445372,Yes
44,Transportation,CH4,33,36.73686096690875,-99.07371978773963,2024-03-15,New Elizabeth,Medium,21.580923372828487,No
45,Transportation,CH4,38,37.439660958238576,-98.73833758052234,2024-02-05,Millerport,Low,21.247361132216792,Yes
46,Industrial,N2O,180,40.647593368440546,-104.34368087924273,2024-04-25,Taylorfort,Low,21.883682320670697,Yes
47,Residential,CH4,418,34.9591287477817,-84.46629670018572,2024-01-07,New Erica,Medium,23.509220949656793,Yes
48,Transportation,N2O,237,39.879406779159154,-76.80823117667377,2024-09-06,South Joanna,Medium,29.305292676740187,No
49,Residential,N2O,387,38.251639313514445,-76.60696219368371,2023-09-29,Nancyside,Low,27.996784136536014,No
50,Residential,CH4,197,36.30356274140794,-110.30962346550291,2024-08-14,Deanburgh,Low,24.328015612263176,Yes
51,Residential,CH4,355,37.9425566762626,-79.51127941511109,2024-04-20,Chasestad,Low,24.93076709787574,Yes
52,Transportation,CO2,239,36.399536558216184,-85.55301657720662,2024-05-06,Carlachester,Low,22.65609457666415,Yes
53,Residential,N2O,330,38.76865564190645,-106.87515436962727,2024-03-08,Port Richardbury,High,27.0435295647213,No
54,Transportation,CO2,349,37.470751382841954,-115.03947703145336,2024-07-28,Bakerfurt,Medium,28.02765671462038,No
55,Residential,CH4,128,35.31524423263103,-106.20812025708737,2023-09-18,Woodmouth,Low,22.389046956675767,Yes
56,Industrial,CO2,165,34.932664596445576,-77.86283758161287,2024-02-14,East Tonya,Medium,20.418216237864655,No
57,Industrial,N2O,281,38.37356545657704,-90.14013830458602,2023-12-21,New Curtisshire,Low,26.238889431629705,Yes
58,Transportation,CO2,184,41.21930426628883,-86.27359492049364,2024-05-10,Robertsfurt,Medium,25.625121191353166,No
59,Industrial,N2O,474,36.75166149246149,-106.68529655119978,2024-08-10,Rossport,Medium,24.021311550288765,Yes
60,Industrial,CH4,113,39.86400085778099,-86.3469211547079,2024-01-09,Jodiburgh,Low,26.4389394177321,No
61,Residential,CH4,101,39.269290839518135,-116.76265372377135,2024-04-02,Smithshire,Low,25.506132979851436,Yes
62,Transportation,N2O,195,41.452439314475846,-101.4858607859874,2023-10-27,Nicholasview,Medium,22.50581576594193,No
63,Residential,CH4,469,40.567848138393124,-90.42285266413742,2024-08-05,Sotoview,Medium,23.977289756227222,Yes
64,Residential,CH4,292,38.53284207124371,-111.57175111618191,2024-05-30,West Tammy,Medium,24.281135697472415,Yes
65,Residential,CH4,190,39.25624398587286,-81.78784272433487,2023-11-10,Port Michael,High,28.80247994475564,Yes
66,Residential,CH4,179,41.18709173267228,-107.65862285227558,2023-12-30,Robinsonville,Low,29.609041541289592,Yes
67,Residential,N2O,196,37.19615027669548,-89.29963103598837,2024-03-02,North Christineburgh,High,28.93001362396497,No
68,Residential,CO2,184,36.61435764686222,-100.1713257266855,2023-10-31,North Mary,High,27.191780240519797,Yes
69,Residential,CO2,231,34.08648866908157,-91.77408179898353,2023-10-03,Matthewmouth,Low,25.84992733605822,No
70,Transportation,CH4,242,40.61240859353171,-113.27217568432805,2024-06-28,Davidfurt,Low,26.892616354659552,No
71,Industrial,CO2,171,40.40784560322692,-117.25583680344928,2023-11-05,Lyonsfurt,High,29.391092207326892,Yes
72,Residential,CO2,430,34.835636144801214,-77.97916519526675,2024-09-01,Michaelmouth,Low,22.499987352238318,Yes
73,Residential,CH4,143,38.6148590490616,-106.13627961424396,2024-03-19,North Kyle,Medium,25.351205076734047,Yes
74,Residential,CH4,400,37.7118535853351,-81.9342118776598,2024-03-05,Rodriguezville,Medium,26.896080190004078,Yes
75,Residential,CO2,489,34.94967276407289,-74.02858677922319,2024-08-11,South Staceytown,High,26.792470013242745,No
76,Residential,N2O,233,41.84454581648579,-108.69702464804791,2024-09-09,North Martinburgh,High,22.522789595768366,No
77,Residential,CH4,162,35.71756709970684,-106.33248738793236,2023-11-06,Jessicatown,Low,25.867315273897518,No
78,Industrial,N2O,42,34.53787344072449,-88.83416934407471,2023-10-19,Curtisborough,Low,27.959131424201566,No
79,Industrial,CO2,64,38.75877903601528,-75.52026007757266,2024-02-27,Codyhaven,High,24.75078980050244,Yes
80,Residential,CH4,451,39.910933417064264,-77.70416867960726,2023-09-23,New Andrewville,High,27.93298076698735,No
81,Industrial,N2O,16,34.2595475683775,-95.87347711711426,2023-10-27,Katherineville,Medium,23.59882597754555,Yes
82,Transportation,CH4,253,39.26974110981618,-83.01514756882412,2024-06-07,East Petershire,Medium,29.38760127163759,Yes
83,Residential,CO2,322,38.258335007611635,-112.02718246360435,2024-05-02,Lake Karen,Low,25.339284404991012,No
84,Transportation,N2O,135,34.82612007100039,-74.99271989502346,2023-12-31,Jasmineside,Medium,25.959479507926144,No
85,Transportation,CO2,21,35.380191015570894,-75.5684577024166,2024-01-07,Chelseahaven,Low,20.313615688045886,No
86,Residential,CO2,25,38.543794378528645,-110.79592585331648,2024-07-19,Stephanieburgh,Low,21.702691371285944,No
87,Industrial,CH4,217,36.37086090810631,-104.82538250866331,2024-04-04,Oconnellfurt,Low,26.329338804710446,No
88,Transportation,N2O,52,41.50652582921053,-113.59318010970226,2024-07-25,Collinsborough,Medium,24.198703717822713,No
89,Residential,CO2,382,40.549921835872404,-106.04442564848009,2024-06-11,East Michael,High,25.081637904581747,Yes
90,Transportation,CO2,493,41.8685376521093,-82.09794526573091,2024-02-03,North Janiceburgh,High,20.629714087337003,Yes
91,Transportation,N2O,470,36.07736671160331,-101.35411328472858,2024-03-15,Brentfort,Medium,28.341352384103843,Yes
92,Transportation,CO2,144,41.757789062383814,-114.11053344554263,2024-01-27,Hannahland,High,27.845056022962172,No
93,Transportation,CO2,237,37.44987095833246,-102.9420769097282,2024-07-17,Deborahview,Low,21.853539757218496,Yes
94,Industrial,N2O,120,36.780150362510035,-74.81913329338367,2024-01-11,Lake Valerie,High,26.343293572573792,Yes
95,Transportation,N2O,316,34.402796215754826,-90.29392180859507,2023-12-05,Lake Shaunside,Medium,28.183152116542715,Yes
96,Transportation,N2O,466,34.422122062876824,-99.68891835812906,2024-07-21,North Christopher,High,26.408541364156,Yes
97,Transportation,N2O,169,39.53609004757324,-110.67230540612012,2023-11-11,Heathermouth,Low,23.103980952958448,Yes
98,Industrial,CH4,340,37.66343195547222,-74.60822091951744,2024-03-01,Ramirezborough,Low,26.56111150478167,Yes
99,Transportation,N2O,273,35.812173008288845,-81.88264359242234,2023-11-16,Port Lindsayfurt,Medium,22.10461747683212,No
100,Transportation,CH4,234,38.91176245060186,-105.61499869215955,2024-05-10,Johnside,Medium,23.18254997279421,No
101,Industrial,CH4,480,36.02286494600089,-114.91697738826767,2023-10-18,South Marcus,Medium,22.400696531071787,No
102,Industrial,CH4,226,38.62105403475538,-115.50847547538744,2024-05-08,Whitemouth,Low,25.569251023902066,Yes
103,Industrial,CO2,465,36.873669975861525,-112.70336142175651,2024-07-12,Castanedafort,High,21.082266467655487,No
104,Transportation,CH4,54,40.588417812894555,-92.44618232096545,2024-08-25,Kimberlyberg,High,29.333103803483386,No
105,Industrial,CH4,223,40.565569286134235,-77.13440946695835,2024-02-27,New Christopherborough,Medium,23.335123536628668,Yes
106,Industrial,CO2,68,37.81880318497921,-96.14328916773668,2023-12-16,Laurieborough,High,22.189701271058013,No
107,Transportation,CO2,141,36.80655287468012,-80.91039877192733,2023-10-08,North Veronica,High,24.96549813601831,Yes
108,Industrial,CO2,113,36.900478372472755,-98.38098872616845,2024-03-26,Virginialand,Medium,22.76997818454716,No
109,Transportation,N2O,204,40.44571620534575,-86.8223239862157,2023-11-16,Markfort,Medium,25.349040863826442,Yes
110,Residential,CO2,422,36.6254358623809,-85.79759955939397,2024-03-21,Leonardhaven,Low,23.485091497820854,Yes
111,Industrial,CO2,498,35.672474989654766,-110.3455969402531,2024-09-14,New Matthew,Low,21.32066810769041,No
112,Residential,CH4,166,34.67750673500245,-102.10649340506428,2024-04-07,Lake Barry,Low,22.65895242027262,Yes
113,Transportation,CO2,107,37.73354496707527,-89.95870511232695,2024-05-09,Lake Michellefort,Low,24.384398449615254,No
114,Industrial,N2O,235,37.85705679135874,-114.88934923988789,2024-02-29,West Antonioport,High,20.302932264796254,Yes
115,Transportation,CO2,421,40.727269683223255,-102.09223173842992,2023-12-07,Jamesshire,High,27.70642527014762,No
116,Residential,N2O,214,35.76990957156851,-94.46882348362753,2023-11-13,Whiteheadhaven,Low,26.218245645904158,No
117,Transportation,CO2,88,37.0479301893472,-74.1661223060359,2023-11-03,Lloydtown,Low,26.013596072783542,Yes
118,Industrial,CO2,133,40.467245911149526,-97.1205232446126,2024-06-20,Port Danafort,Medium,25.460499318827658,No
119,Industrial,CO2,480,40.58898888599179,-82.09350268696977,2023-12-07,North Dominique,High,25.903131723250684,No
120,Residential,CO2,437,37.07688860783014,-98.98903945706883,2023-10-18,West Robertbury,High,29.346519527072203,No
121,Transportation,N2O,227,37.67299218629345,-82.9588082047328,2024-05-27,Port Melissa,Low,20.085692108107406,Yes
122,Industrial,N2O,13,36.426287126794264,-91.80174872871524,2024-08-20,Port Christopher,High,20.477997096577493,Yes
123,Residential,CH4,99,41.4604390273545,-78.98980057389447,2023-10-05,Port Kaylaberg,Medium,21.914934099308024,No
124,Industrial,N2O,113,34.94915012593264,-99.91852769659516,2024-06-19,Lake Danielbury,Medium,21.6730137999315,No
125,Industrial,CO2,402,41.46999538401176,-91.41060552785493,2024-09-10,Lake Kathleenmouth,High,21.811944594691827,Yes
126,Transportation,CH4,128,39.47093161468275,-90.2791780527716,2024-02-17,Petersonburgh,Low,26.7194388584865,Yes
127,Industrial,CH4,142,38.25257722149385,-99.63515056077918,2024-05-17,Rogersside,High,24.594833010501652,No
128,Transportation,CH4,321,34.26127248627597,-111.65027007775082,2024-08-12,South Philipfurt,Medium,29.917788783346932,Yes
129,Industrial,CO2,105,37.80476953457607,-113.88338609585723,2024-04-01,Lake Joshua,Low,22.26885914802945,Yes
130,Residential,N2O,477,37.26198484002186,-117.26645177361614,2024-05-14,New Jeffrey,High,23.108301010274946,No
131,Industrial,CO2,443,35.28975049580098,-79.56449237321056,2023-11-05,Huntport,Low,29.842407168016493,Yes
132,Transportation,CH4,340,39.25127682800525,-107.59510386149744,2024-03-19,Valdezland,Low,28.31758140802247,Yes
133,Transportation,CO2,152,41.76920725894629,-108.69370303160221,2024-05-02,Suzanneborough,Medium,24.69799220678533,Yes
134,Residential,CO2,297,38.4975104885162,-85.61444238125313,2024-05-30,Natalieburgh,Low,25.545968855459897,No
135,Industrial,N2O,37,39.71802621155157,-103.91929102415476,2024-06-01,Hartmanmouth,High,28.431779206528404,Yes
136,Industrial,N2O,287,34.547603620528136,-95.7340335338792,2024-01-15,Richardside,Low,24.80980246046328,No
137,Residential,CH4,242,37.34133596653596,-110.84951312691192,2024-02-01,Lake Darrell,Low,22.060237235820843,Yes
138,Industrial,CO2,26,34.93086788131597,-75.77118825567335,2024-09-04,West Andreberg,High,28.284445385543854,Yes
139,Industrial,CO2,68,38.90236668429208,-80.53041839924155,2024-02-02,Port Josechester,Medium,25.377724912756435,No
140,Transportation,N2O,99,41.507857265713234,-79.99325658953985,2024-04-14,Leblancfort,Medium,21.530425971638213,No
141,Industrial,CO2,208,39.29422185977311,-100.10195506283176,2024-06-20,East Kyle,High,25.055858311843977,No
142,Industrial,CO2,371,34.614424386515374,-84.4561065968844,2024-02-10,South Kristinfort,High,24.13203380596859,No
143,Residential,CO2,450,36.837329639880664,-111.66944916284967,2024-07-10,Trevormouth,Medium,28.768425318817577,Yes
144,Residential,N2O,35,38.40530703552681,-117.62076388596167,2024-04-26,Stephensberg,Low,21.260554313607035,No
145,Transportation,CH4,34,37.22566204906602,-117.12119096656676,2024-09-06,North Brett,High,28.752098044480256,No
146,Industrial,CH4,403,40.66915208380138,-92.18952355419934,2024-03-30,Cookside,Low,25.122110168102846,No
147,Industrial,CO2,310,40.517368037679915,-97.9626241690906,2023-10-14,Jeffreyport,High,24.043644299811476,Yes
148,Industrial,CH4,348,38.894648160825774,-95.20732464802514,2023-09-18,West Sarah,Medium,21.619671844029405,Yes
149,Transportation,N2O,276,36.987663561061645,-117.67162182164235,2024-04-22,Lake Andremouth,Low,27.00817962638679,No
150,Transportation,N2O,470,36.04269099010595,-99.40178873507327,2024-03-30,New Lindsay,Low,29.268067091100406,No
151,Residential,CH4,190,34.84699454570504,-86.40500090716213,2024-04-15,Port Brittany,High,23.753773538993197,No
152,Transportation,CH4,465,36.83918146789243,-98.52147711343282,2024-01-31,South Alexandra,Low,22.415850006708332,No
153,Industrial,CO2,369,37.30538013766176,-85.78235492226221,2023-10-30,South Stacey,High,25.54866916999157,Yes
154,Industrial,CH4,77,39.40658340083259,-107.74716556653927,2024-01-24,Nelsonborough,Medium,27.961859484338703,No
155,Transportation,CO2,360,39.26527859438059,-82.22175180280408,2023-10-12,Vincentmouth,Low,20.037676945505332,Yes
156,Industrial,CO2,421,34.56086511713006,-92.1090254200481,2024-04-06,New Monique,High,26.31377436395429,No
157,Industrial,N2O,468,37.16207452344926,-108.72642362508412,2024-08-27,North Paulaport,Low,25.96516000698631,No
158,Transportation,N2O,330,35.4542309377389,-107.58429906243136,2024-04-19,Johnsonhaven,High,23.1815218580416,Yes
159,Transportation,N2O,58,35.25450164253444,-90.36665955894037,2024-07-08,Joshuamouth,High,24.514230036049703,No
160,Industrial,N2O,184,40.61841719789797,-81.48265789865249,2024-04-17,North Paula,High,22.46963224161821,No
161,Industrial,CH4,61,34.33532173373006,-99.71237759071717,2024-04-08,South Kirk,Medium,27.89885737951843,No
162,Industrial,N2O,111,37.35346300721697,-106.63478111838594,2023-10-10,Seanside,Low,26.345349333661076,No
163,Residential,CH4,225,35.34562924613215,-79.85148929593359,2024-03-08,Port Jesus,Medium,25.327116220389854,Yes
164,Residential,N2O,447,41.03464172542779,-88.55219516296327,2024-03-05,West Kyle,High,23.92526198417827,No
165,Residential,CH4,197,38.456324106200285,-98.28423855954463,2024-06-24,Christophermouth,High,22.913843860207322,No
166,Transportation,CO2,66,35.85104509101478,-96.53239140771072,2024-08-27,Jimeneztown,Medium,28.227364860434314,Yes
167,Residential,CH4,56,38.019418297331015,-109.01271541079856,2024-05-20,Philipton,Medium,24.51407670433569,No
168,Transportation,CH4,168,39.851890877624925,-90.42068427714688,2024-04-27,Rodriguezland,Low,25.01447419841673,Yes
169,Transportation,N2O,498,41.66494407135547,-102.2153295361129,2024-05-23,Nicholsonland,High,25.208287305407417,No
170,Residential,CH4,183,35.76356803396335,-74.19161222632863,2024-04-17,Michaelside,Medium,24.483669354315765,No
171,Residential,CO2,251,41.08945417703476,-96.87192532847693,2023-12-21,East Jennifer,High,22.56088426238424,No
172,Residential,CO2,291,41.474432913339925,-96.62103332765702,2023-12-29,Martinberg,High,21.20340440243052,Yes
173,Industrial,N2O,250,41.33136435625653,-93.10252135393044,2024-07-01,Kristaton,Low,20.985372671677407,Yes
174,Residential,CO2,379,39.08331485489528,-77.66273586277515,2024-06-22,West Jose,Low,27.574625233406884,No
175,Industrial,CH4,14,39.03856523547766,-82.76400360617099,2024-06-12,North Dylanburgh,Low,22.235278223015115,Yes
176,Transportation,CO2,93,37.225685065470586,-98.15027692889498,2024-02-07,Jessicahaven,Medium,20.556728149539754,No
177,Industrial,N2O,317,40.0191830584303,-86.37723229719697,2024-04-29,East Melaniehaven,High,27.97517406695886,Yes
178,Residential,CH4,370,38.25035214680746,-92.20563805364648,2024-04-23,Patrickfort,Medium,21.54061652860648,No
179,Transportation,N2O,468,39.41950456982636,-96.33584985714505,2024-09-13,Port Andrew,Medium,26.25146091733354,Yes
180,Transportation,CH4,257,37.427663230790365,-109.53810599748857,2024-01-08,Jacobstad,Low,23.38643271447863,No
181,Transportation,CO2,63,39.85197171234511,-97.5868044079848,2024-01-31,Warnerchester,High,21.264802566913094,Yes
182,Industrial,N2O,170,40.595772140836395,-107.18398217100672,2024-05-19,North William,High,24.144809792543597,Yes
183,Residential,N2O,443,35.17149005282253,-77.7469454065272,2024-08-28,South Charlene,Low,20.14808861132625,Yes
184,Transportation,CH4,431,40.66343772459383,-103.24210020616073,2023-12-13,West Sean,High,28.410449825125603,Yes
185,Transportation,N2O,420,38.32237225432246,-76.10038336053162,2024-07-31,South Craig,Low,25.134979613418572,No
186,Transportation,CH4,235,40.757327272721795,-94.5455672358327,2024-02-28,Zacharyland,Medium,21.39160010907962,No
187,Industrial,CH4,24,37.450413650728116,-90.21204733824895,2024-06-04,Jillianbury,Medium,22.369803183889847,Yes
188,Industrial,CH4,233,37.03232388306428,-94.11062044246958,2024-07-06,Lake Steven,Low,24.479751921385265,No
189,Residential,CH4,70,41.32048586013778,-112.30725285346516,2024-02-29,Lake Autumn,Medium,21.888693828155485,Yes
190,Industrial,CO2,131,36.00935414038721,-101.4638663636506,2024-01-04,West Michael,Medium,22.68599161501086,No
191,Transportation,CH4,286,40.75369860228915,-113.63757105978455,2024-09-08,North Debbie,Low,25.343855642352633,Yes
192,Residential,N2O,55,37.872164580075236,-90.5900220559312,2023-11-19,Kirbyland,Medium,28.326090130383854,No
193,Transportation,CO2,462,38.11276354041008,-98.33753541118068,2024-06-23,Joneston,High,24.01839685689921,No
194,Transportation,N2O,399,36.46774625191587,-83.76866125087878,2024-07-19,Port Christianshire,Medium,27.169752735535482,Yes
195,Industrial,CO2,303,38.584337604952125,-108.29929883602773,2024-07-22,Christinechester,Low,28.766842134606485,Yes
196,Residential,CH4,71,36.60168957020969,-110.75909342910927,2024-05-01,Smithmouth,High,22.16300940296162,Yes
197,Industrial,CO2,95,34.31415531393322,-100.12138183759421,2023-10-25,New Holly,High,28.071919704021603,Yes
198,Industrial,CO2,455,36.17598884275485,-77.23024313839123,2023-10-08,Benjaminberg,Medium,27.574021983310274,Yes
199,Residential,N2O,219,34.05103234725273,-86.74144013945389,2024-04-22,Lake Barbaraberg,High,23.56937297948135,No
200,Transportation,N2O,87,41.82683829645485,-99.56736050911158,2024-03-22,Nunezshire,Low,29.89519959500867,Yes
201,Transportation,CH4,211,41.72597767855798,-95.24002453081033,2024-01-16,South Jack,High,22.62572371435957,No
202,Residential,CO2,311,37.16124237977844,-114.29462750820767,2024-09-15,Port Gregland,Medium,22.548032660316956,Yes
203,Transportation,CO2,406,39.82696683471717,-74.67866055945103,2024-03-29,Charlesport,Medium,27.722591646531978,No
204,Residential,CO2,232,36.7664487872834,-88.67807859342356,2024-01-26,Port Melissa,High,24.34657318051084,No
205,Residential,CH4,231,39.36874525668781,-105.4422209876094,2024-07-01,New Joseph,Low,23.30794994781043,Yes
206,Industrial,CH4,12,40.44344034436783,-92.22443065452924,2024-04-06,Cooperborough,Low,21.78662805339103,Yes
207,Residential,CH4,487,41.57404995753792,-113.18277589296426,2023-12-19,Emmamouth,Medium,27.65332430934544,No
208,Industrial,CH4,15,37.201698206797374,-75.50318657246632,2024-04-20,Port Jennifermouth,Medium,27.86321806136077,No
209,Transportation,CH4,102,40.26638386364838,-110.3094605331319,2024-08-15,East Seanburgh,Low,25.665640032301404,Yes
210,Transportation,N2O,17,36.12742760505695,-89.48666600557058,2024-06-26,South Kathryn,High,29.573136131913728,No
211,Transportation,CO2,437,41.92265843034919,-107.20000364828707,2023-11-14,Port Nathanstad,High,23.181632704226544,No
212,Transportation,CO2,244,34.20615679011481,-86.42729916346443,2024-06-28,Janetmouth,High,22.19619045479337,No
213,Industrial,CO2,117,38.82823045200897,-83.81985984142764,2024-06-26,North Kristinaview,High,26.774667689344618,No
214,Transportation,CO2,170,39.27604785321061,-88.36953192789696,2024-04-13,West Rachelton,Low,27.58408640799705,No
215,Residential,CO2,218,39.50436445659303,-90.96202374877153,2024-04-16,Derekmouth,Medium,22.249059705518224,No
216,Residential,CO2,249,34.96310063031271,-78.73135986611149,2024-01-23,Joehaven,Medium,20.766107642611132,Yes
217,Residential,CO2,340,41.508238267785046,-114.54042471645064,2024-02-06,Mariahstad,High,28.10516486586372,Yes
218,Industrial,CO2,342,35.44946623240066,-103.43975030567141,2023-11-03,Bullockside,Low,29.765019736460125,Yes
219,Transportation,N2O,59,38.98202722591873,-107.07535089624278,2024-03-10,Hensleyside,Low,26.446722860722844,Yes
220,Transportation,CO2,20,35.78140863298468,-74.52738566912146,2024-03-15,Lake Kennethhaven,High,22.778669001438942,No
221,Transportation,N2O,360,36.45773133617017,-100.86684969465756,2024-05-28,Mejiastad,High,29.96672608552792,Yes
222,Industrial,CH4,165,38.37166833382499,-85.76504123342247,2023-11-27,Dorothymouth,High,28.932666362670773,No
223,Residential,CO2,79,37.33754734851661,-87.87209278923581,2024-06-23,Port Leonardmouth,Medium,25.133806462802937,No
224,Residential,CH4,178,35.28180480781205,-108.66842555099538,2024-08-23,Robertsville,High,28.253212848418336,Yes
225,Transportation,CH4,281,35.367491219366784,-107.48410207069175,2024-04-02,Allenchester,Medium,28.15820523262967,Yes
226,Residential,CH4,77,37.3451583053024,-105.6234792036665,2024-05-15,Lake Aaron,Low,29.347989696734995,No
227,Residential,N2O,364,40.058263826204005,-99.91039975658731,2024-02-17,Port Randy,Low,28.4092384377346,Yes
228,Industrial,CH4,261,41.18371717478231,-107.68969711137682,2023-12-07,Lake Territon,Medium,26.436792359571644,Yes
229,Industrial,CH4,57,34.673021298075064,-117.1353347591387,2024-08-19,Valeriefort,Medium,26.093037189565074,No
230,Industrial,CH4,193,37.14483126047521,-79.30670550048339,2024-08-25,Michaelmouth,Medium,24.67357288331612,No
231,Industrial,CO2,329,34.80196450978301,-75.5131674192411,2024-02-01,South Kristie,Medium,26.264856399707575,No
232,Transportation,CO2,196,34.13273984506078,-102.97090297061101,2023-10-11,Priceville,High,27.952165865303826,No
233,Industrial,N2O,99,39.293749461151656,-103.1056973052792,2024-03-05,Port Ashley,Low,29.690376263025534,No
234,Residential,N2O,455,38.8195955357327,-117.68796023792768,2023-11-06,West Jenniferhaven,High,24.6728735818212,No
235,Transportation,CO2,341,35.30415291051909,-88.06896971346355,2024-02-26,Port Davidchester,Medium,25.73653202988757,Yes
236,Residential,N2O,148,35.870502664744514,-81.68064458706033,2024-01-10,North Jenniferbury,High,24.448054950587817,Yes
237,Residential,CO2,366,34.189662029156146,-111.54923478415986,2024-06-19,Marilynbury,High,26.68488620983404,Yes
238,Residential,CH4,98,40.67957764555523,-110.97468062784537,2024-05-18,West Ashleyborough,Low,26.299205040612595,No
239,Industrial,CH4,283,41.79752476838841,-83.23633700125674,2024-03-11,West Joshua,High,20.17833790193623,No
240,Industrial,N2O,28,35.083676294357524,-90.88320707241763,2024-04-22,Karlastad,Low,25.411615591006584,Yes
